nbin_dir	run_name	data_path	N_steps	f_FNA	f_SNA	f_VSNA	f_LLP	T_FNA	T_SNA	T_VSNA	logL	nll	BIC	success	opt_time_sec
run_High_Pausing	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Pausing\duration_10000_ntraj_200\dwell_times_all.txt	20	0.271578	0.728404	1.82129e-05	3.41616e-07	0.38226	1.20949	9.95266	-1650775.549387	1650775.549387	3301651.022411	True	105.8187
run_High_Pausing_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Pausing_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.270491	0.729437	7.16499e-05	6.87861e-07	0.382559	1.21061	9.98918	-1650706.905788	1650706.905788	3301513.719509	True	118.8605
run_High_Unwinding	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Unwinding\duration_10000_ntraj_200\dwell_times_all.txt	20	0.728734	0.271265	4.94578e-07	4.94578e-07	3.13225	3.00332	9.98281	-832589.491347	832589.491347	1665270.917173	True	18.6312
run_High_Unwinding_2	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Unwinding_2\duration_10000_ntraj_200\dwell_times_all.txt	20	0.487375	0.512624	3.87351e-07	3.87351e-07	2.39573	2.80152	9.95139	-982203.252427	982203.252427	1964498.656401	True	19.5697
run_High_Unwinding_2_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Unwinding_2_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.490887	0.509112	4.15412e-07	4.15412e-07	2.40345	2.804	9.95677	-980809.770520	980809.770520	1961711.694266	True	19.5666
run_High_Unwinding_3	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Unwinding_3\duration_10000_ntraj_200\dwell_times_all.txt	20	0.7136	0.286399	4.86842e-07	4.86842e-07	3.05494	3.09483	9.97766	-844953.617412	844953.617412	1689999.178104	True	16.2489
run_High_Unwinding_3_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Unwinding_3_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.713863	0.286136	4.83963e-07	4.83963e-07	3.05511	3.09416	9.97732	-845603.543068	845603.543068	1691299.030965	True	17.2544
run_High_Unwinding_4	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Unwinding_4\duration_10000_ntraj_200\dwell_times_all.txt	20	0.727681	0.272318	4.93495e-07	4.93495e-07	3.07947	3.15148	9.98141	-838794.856839	838794.856839	1677681.663978	True	14.9886
run_High_Unwinding_4_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Unwinding_4_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.727815	0.272184	5.02565e-07	5.02565e-07	3.07855	3.15648	9.98053	-839038.157121	839038.157121	1678168.264903	True	15.5521
run_High_Unwinding_5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Unwinding_5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.695562	0.304437	5.13765e-07	5.13765e-07	3.03195	2.96835	9.97789	-854484.593857	854484.593857	1709061.141661	True	17.4919
run_High_Unwinding_5_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Unwinding_5_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.693893	0.306106	5.11206e-07	5.11206e-07	3.03265	2.95678	9.97806	-854626.847062	854626.847062	1709345.644812	True	18.1964
run_High_Unwinding_	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Unwinding_\duration_10000_ntraj_200\dwell_times_all.txt	20	0.729289	0.27071	4.9748e-07	4.9748e-07	3.1322	3.00715	9.98274	-832061.719028	832061.719028	1664215.373478	True	18.6032
