nbin_dir	run_name	data_path	N_steps	f_FNA	f_SNA	f_VSNA	f_LLP	T_FNA	T_SNA	T_VSNA	logL	nll	BIC	success	opt_time_sec
run_Balanced_2_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2000\run_Balanced_2_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.464847	0.535152	3.79363e-07	3.79363e-07	2.99775	3.45846	9.9539	-858791.888504	858791.888504	1717674.268717	True	11.4565
run_Balanced_3_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2000\run_Balanced_3_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.537194	0.462805	3.63972e-07	3.63972e-07	3.20054	3.63722	9.94715	-834153.976679	834153.976679	1668398.393631	True	11.8234
run_Balanced_4_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2000\run_Balanced_4_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.545427	0.454573	3.72946e-07	3.72946e-07	3.21564	3.73584	9.94846	-830331.724771	830331.724771	1660753.846388	True	11.1206
run_Balanced_5_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2000\run_Balanced_5_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.203679	0.79632	3.7001e-07	3.7001e-07	2.3594	3.07122	9.95418	-912954.866390	912954.866390	1826000.303512	True	13.0610
run_Balanced_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2000\run_Balanced_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.563307	0.436692	3.90712e-07	3.90712e-07	3.35359	3.55187	9.94183	-819703.883879	819703.883879	1639498.180418	True	11.7673
run_Family_A_2_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2000\run_Family_A_2_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.334593	0.66502	0.000386176	5.64695e-07	0.392749	0.971629	9.9978	-1553595.114064	1553595.114064	3107291.506659	True	165.0470
run_Family_A_3_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2000\run_Family_A_3_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.279497	0.631323	0.0890233	0.000156507	0.354439	0.831118	0.001	-1255474.261336	1255474.261336	2511051.008054	True	563.2846
run_Family_A_4_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2000\run_Family_A_4_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.345749	0.65397	0.000280735	6.70148e-07	0.377077	0.922015	9.99477	-1515396.619292	1515396.619292	3030894.929333	True	132.8953
run_Family_A_5_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2000\run_Family_A_5_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	3.56672e-08	3.56672e-08	3.56672e-08	1	0.001	4.67403	9.93554	-29849222.296802	29849222.296802	59698563.620460	True	1481.5955
run_Family_A_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2000\run_Family_A_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.32267	0.348779	0.32853	2.03977e-05	0.380097	0.650906	1.19364	-1524082.993590	1524082.993590	3048267.554486	True	326.1339
