time	position	state	ATP_bound
1.000000000000000000e+00 3.742741482790040708e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 2.042495163353060139e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 2.882149792701778956e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 5.035319274192971761e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 4.366348029026000610e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 6.712857790243897504e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 6.466968668901457384e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 8.246855249620603345e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 8.880127087349498183e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 1.016822057121309619e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+01 1.068915917032420104e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000000e+01 1.150942191960877814e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.300000000000000000e+01 1.199292630469499521e+01 1.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000000e+01 1.228626762528637428e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+01 1.370647407721342681e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+01 1.525506408035499284e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+01 1.546444571394772005e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.800000000000000000e+01 1.755166667518139079e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.900000000000000000e+01 1.794064893742134004e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+01 1.888673111634986768e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.100000000000000000e+01 1.982321038143282266e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.200000000000000000e+01 2.150913578186810682e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.300000000000000000e+01 2.205463799690379645e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.400000000000000000e+01 2.377797565927369305e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+01 2.389930062752988960e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.600000000000000000e+01 2.441254744901311824e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.700000000000000000e+01 2.540264875697040381e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.800000000000000000e+01 2.743173154024959359e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.900000000000000000e+01 2.871618642087519291e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+01 2.905305289955440173e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.100000000000000000e+01 3.040916225395806549e+01 0.000000000000000000e+00 0.000000000000000000e+00
