time	position	state	ATP_bound
1.000000000000000000e+00 4.312348340696507409e-01 1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.657435352015155239e-01 1.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 9.325817664134906648e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 2.083948199932121881e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 1.041018113485981944e+00 2.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 1.975755850675747993e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 2.672318290441850763e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 3.181593704786208399e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 3.312673791881656449e+00 2.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 3.864050132069548393e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+01 5.197005533577679692e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000000e+01 5.485861232445100377e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.300000000000000000e+01 7.027371506937177159e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000000e+01 8.588159655938829573e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+01 9.823079547249552235e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+01 9.494866259418632382e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+01 1.111015521039158038e+01 1.000000000000000000e+00 0.000000000000000000e+00
1.800000000000000000e+01 8.580544016021820042e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.900000000000000000e+01 9.162940009394938912e+00 2.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+01 1.024170090371196551e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.100000000000000000e+01 1.106345420785587308e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.200000000000000000e+01 1.243457070788644714e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.300000000000000000e+01 1.236024816674608218e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.400000000000000000e+01 1.379925654753673037e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+01 1.441006951615312559e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.600000000000000000e+01 1.361011194210669650e+01 2.000000000000000000e+00 0.000000000000000000e+00
2.700000000000000000e+01 1.570078074216459108e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.800000000000000000e+01 1.548724058864029729e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.900000000000000000e+01 1.696992700881470739e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+01 1.746391466229411904e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.100000000000000000e+01 1.878169057017890253e+01 1.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000000e+01 1.902107371606560449e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.300000000000000000e+01 2.028918452448725773e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.400000000000000000e+01 2.068494063064767374e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.500000000000000000e+01 2.291820907749315239e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.600000000000000000e+01 2.307505614015951423e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.700000000000000000e+01 2.443688660107990529e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.800000000000000000e+01 2.423902195938579140e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.900000000000000000e+01 2.449815594206746283e+01 2.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+01 2.447287230032669925e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.100000000000000000e+01 2.598490892068929625e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.200000000000000000e+01 2.654522028863472016e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.300000000000000000e+01 2.801410489940050041e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.400000000000000000e+01 2.894515298022338712e+01 1.000000000000000000e+00 0.000000000000000000e+00
4.500000000000000000e+01 2.949295714413874236e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.600000000000000000e+01 3.068868567830565297e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.700000000000000000e+01 3.112285480266259086e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.800000000000000000e+01 3.225919037681143919e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.900000000000000000e+01 3.297735894296422998e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 3.408778512273233474e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.100000000000000000e+01 3.365658438175674405e+01 2.000000000000000000e+00 0.000000000000000000e+00
5.200000000000000000e+01 3.175450461179418937e+01 2.000000000000000000e+00 0.000000000000000000e+00
5.300000000000000000e+01 3.283307396187615979e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.400000000000000000e+01 3.407427870515134316e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.500000000000000000e+01 3.421113156040578929e+01 1.000000000000000000e+00 0.000000000000000000e+00
5.600000000000000000e+01 3.498809584556263275e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.700000000000000000e+01 3.607547620918138165e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.800000000000000000e+01 3.611498991210585530e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.900000000000000000e+01 3.832831108856629498e+01 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+01 3.902087605610919496e+01 0.000000000000000000e+00 0.000000000000000000e+00
