time	position	state	ATP_bound
1.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 6.412482873909840508e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 4.417961113885055663e-02 2.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 1.105748223499709582e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 1.338471037312995549e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 3.426550713736706832e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 4.121455609293302125e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 3.712330004757139701e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 6.562148536920258124e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 7.325696511312565384e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+01 8.000882149325319048e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000000e+01 6.491268023833695722e+00 2.000000000000000000e+00 0.000000000000000000e+00
1.300000000000000000e+01 7.335156222834706696e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000000e+01 7.717862204572752738e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+01 9.741675257909289343e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+01 9.394762749941444113e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+01 1.051391860135759160e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.800000000000000000e+01 1.196063846002458675e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.900000000000000000e+01 1.335222722692509834e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+01 1.355196776173409212e+01 1.000000000000000000e+00 0.000000000000000000e+00
2.100000000000000000e+01 1.357415271004001767e+01 1.000000000000000000e+00 0.000000000000000000e+00
2.200000000000000000e+01 1.390412635479862935e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.300000000000000000e+01 1.533192150879817639e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.400000000000000000e+01 1.309485076023773864e+01 2.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+01 1.436252907599999773e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.600000000000000000e+01 1.596675281611939923e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.700000000000000000e+01 1.687006167709069970e+01 1.000000000000000000e+00 0.000000000000000000e+00
2.800000000000000000e+01 1.603987411863586487e+01 1.000000000000000000e+00 0.000000000000000000e+00
2.900000000000000000e+01 1.707692525178120491e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+01 1.738677329886118628e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.100000000000000000e+01 1.830391802696824755e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000000e+01 1.880389155860402539e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.300000000000000000e+01 2.125285475339404329e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.400000000000000000e+01 2.140483812432817601e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.500000000000000000e+01 2.083899715958268573e+01 2.000000000000000000e+00 0.000000000000000000e+00
3.600000000000000000e+01 1.959354913108567331e+01 2.000000000000000000e+00 0.000000000000000000e+00
3.700000000000000000e+01 2.089944358300281735e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.800000000000000000e+01 2.182820486074804833e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.900000000000000000e+01 2.326369830222610346e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+01 2.293508525474629067e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.100000000000000000e+01 2.503880748961726610e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.200000000000000000e+01 2.494938948420674052e+01 1.000000000000000000e+00 0.000000000000000000e+00
4.300000000000000000e+01 2.653261219890854150e+01 0.000000000000000000e+00 0.000000000000000000e+00
