time	position	state	ATP_bound
1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 5.824935404282149953e-01 1.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 1.894371387618921432e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 1.267551923648760903e+00 1.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 8.648011218801365807e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 3.012251985507098162e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 3.864651929245088269e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+01 3.941216175484093753e+00 2.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000000e+01 1.022229010161456619e+00 2.000000000000000000e+00 0.000000000000000000e+00
1.300000000000000000e+01 2.373332071121529108e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000000e+01 2.166662220219039536e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+01 1.350683646327770493e+00 2.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+01 1.665016019346723386e-01 2.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.800000000000000000e+01 0.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00
1.900000000000000000e+01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+01 3.750444023176705000e-01 1.000000000000000000e+00 0.000000000000000000e+00
2.100000000000000000e+01 1.214010407847940343e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.200000000000000000e+01 4.403384223188320234e-01 2.000000000000000000e+00 0.000000000000000000e+00
2.300000000000000000e+01 4.782714258204312507e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.400000000000000000e+01 1.318623559736303408e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+01 2.082220229658988231e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.600000000000000000e+01 5.958022301096255191e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.700000000000000000e+01 2.049302774269928129e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.800000000000000000e+01 4.072756433973887980e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.900000000000000000e+01 3.327758112219978859e+00 1.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+01 4.718155491853443628e+00 1.000000000000000000e+00 0.000000000000000000e+00
3.100000000000000000e+01 3.732652991475624127e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000000e+01 6.618582040443309999e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.300000000000000000e+01 7.124638686052517045e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.400000000000000000e+01 6.741363657699343648e+00 1.000000000000000000e+00 0.000000000000000000e+00
3.500000000000000000e+01 8.931971824658827330e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.600000000000000000e+01 5.790388816210530365e+00 2.000000000000000000e+00 0.000000000000000000e+00
3.700000000000000000e+01 6.997032654719690825e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.800000000000000000e+01 6.858571155412303888e+00 2.000000000000000000e+00 0.000000000000000000e+00
3.900000000000000000e+01 6.433159624479143801e+00 1.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+01 8.379967662347521440e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.100000000000000000e+01 8.422099784435916447e+00 1.000000000000000000e+00 0.000000000000000000e+00
4.200000000000000000e+01 6.863688761955688555e+00 2.000000000000000000e+00 0.000000000000000000e+00
4.300000000000000000e+01 6.465473764131300705e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.400000000000000000e+01 8.783257424432722615e+00 1.000000000000000000e+00 0.000000000000000000e+00
4.500000000000000000e+01 7.594004973801782299e+00 1.000000000000000000e+00 0.000000000000000000e+00
4.600000000000000000e+01 7.762847742110003502e+00 1.000000000000000000e+00 0.000000000000000000e+00
4.700000000000000000e+01 9.738761099807094368e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.800000000000000000e+01 8.536434596896732785e+00 1.000000000000000000e+00 0.000000000000000000e+00
4.900000000000000000e+01 8.650180703979062358e+00 1.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 7.456126465540831916e+00 2.000000000000000000e+00 0.000000000000000000e+00
5.100000000000000000e+01 9.004493385136147054e+00 0.000000000000000000e+00 0.000000000000000000e+00
