time	position	state	ATP_bound
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.082959032268873134e+00 1.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 1.580074403742012024e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 3.499200296057985771e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 4.200423445810857359e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 4.915832347393778612e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 5.681950897843714543e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 7.439168867361381388e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 8.055659809417949901e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 6.936048529059771539e+00 2.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+01 6.301625661080842988e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000000e+01 6.979266554924131505e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.300000000000000000e+01 7.973513574447269825e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000000e+01 8.635839232048608594e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+01 1.050276672352664420e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+01 9.860014663195643791e+00 2.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+01 9.549473671067895353e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.800000000000000000e+01 1.195816562253938997e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.900000000000000000e+01 1.190524151716934220e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+01 1.388039592535919198e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.100000000000000000e+01 1.347802035482592409e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.200000000000000000e+01 1.488872837699461904e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.300000000000000000e+01 1.688633652628093884e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.400000000000000000e+01 1.684120615235191920e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+01 1.791348330163248903e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.600000000000000000e+01 1.957143857935536602e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.700000000000000000e+01 1.904484224549123539e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.800000000000000000e+01 2.146940439415594781e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.900000000000000000e+01 2.146450110801544042e+01 1.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+01 2.167036955196597603e+01 1.000000000000000000e+00 0.000000000000000000e+00
3.100000000000000000e+01 2.219178331756359768e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000000e+01 2.320637059228538490e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.300000000000000000e+01 2.378991883479898206e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.400000000000000000e+01 2.487588184700580385e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.500000000000000000e+01 2.521159618927205415e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.600000000000000000e+01 2.707578474493391951e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.700000000000000000e+01 2.788396440564165957e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.800000000000000000e+01 2.891198658145925648e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.900000000000000000e+01 3.020209355767657655e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+01 3.159565646994456145e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.100000000000000000e+01 3.141066211771867955e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.200000000000000000e+01 3.327684872169889729e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.300000000000000000e+01 3.408254100700779787e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.400000000000000000e+01 3.474593495471984284e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.500000000000000000e+01 3.456776387070856060e+01 1.000000000000000000e+00 0.000000000000000000e+00
4.600000000000000000e+01 3.584196456189959434e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.700000000000000000e+01 3.592525247359787244e+01 1.000000000000000000e+00 0.000000000000000000e+00
4.800000000000000000e+01 3.658436234448345914e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.900000000000000000e+01 3.823769921572674946e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 3.906222810813979152e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.100000000000000000e+01 4.031671741623718219e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.200000000000000000e+01 4.139047649084277936e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.300000000000000000e+01 3.918132067348633996e+01 2.000000000000000000e+00 0.000000000000000000e+00
5.400000000000000000e+01 3.852898628275292481e+01 2.000000000000000000e+00 0.000000000000000000e+00
5.500000000000000000e+01 4.034565553604721089e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.600000000000000000e+01 4.163620506071573146e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.700000000000000000e+01 4.159416776325305420e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.800000000000000000e+01 4.323276886073417558e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.900000000000000000e+01 4.273863643177016769e+01 1.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+01 4.403145008095371793e+01 0.000000000000000000e+00 0.000000000000000000e+00
6.100000000000000000e+01 4.582446562028495407e+01 0.000000000000000000e+00 0.000000000000000000e+00
6.200000000000000000e+01 4.599779532761667156e+01 0.000000000000000000e+00 0.000000000000000000e+00
6.300000000000000000e+01 4.730277603247940021e+01 0.000000000000000000e+00 0.000000000000000000e+00
6.400000000000000000e+01 4.766237478448768172e+01 0.000000000000000000e+00 0.000000000000000000e+00
6.500000000000000000e+01 4.913405041352577030e+01 0.000000000000000000e+00 0.000000000000000000e+00
6.600000000000000000e+01 4.997313913841176714e+01 0.000000000000000000e+00 0.000000000000000000e+00
6.700000000000000000e+01 4.890980802911261094e+01 2.000000000000000000e+00 0.000000000000000000e+00
