time	position	state	ATP_bound
1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 1.950328464448435328e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 2.550686468601921497e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 7.843812069910436335e-01 2.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 2.886746518879797829e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 2.041776165944496402e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 3.675593874865294541e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 5.096895692706366887e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 6.246164703822024933e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+01 7.054483901290575787e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000000e+01 7.855719182506671672e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.300000000000000000e+01 6.914790259390672489e+00 2.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000000e+01 6.122176593463310112e+00 2.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+01 6.530318097108701814e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+01 5.140437929729386290e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+01 6.723450144612360901e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.800000000000000000e+01 7.070505829833528821e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.900000000000000000e+01 7.406006281135831593e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+01 8.040120306740098144e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.100000000000000000e+01 9.901289515003249164e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.200000000000000000e+01 1.072450766230553398e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.300000000000000000e+01 1.227106294570606870e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.400000000000000000e+01 1.309317048975146847e+01 0.000000000000000000e+00 0.000000000000000000e+00
