nbin_dir	run_name	data_path	N_steps	f_FNA	f_SNA	f_VSNA	f_LLP	T_FNA	T_SNA	T_VSNA	logL	nll	BIC	success	opt_time_sec
sim_traces_nbin_1500	run_Family_A_4_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Family_A_4_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.23573	0.763909	0.000360686	3.75744e-07	0.481905	1.26321	10.0035	-1621203.686761	1621203.686761	3242506.336574	True	298.0086
sim_traces_nbin_1500	run_Family_B_4_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Family_B_4_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.139499	0.549779	0.310692	2.93736e-05	0.638406	3.05835	0.973525	-1373438.410016	1373438.410016	2746971.629461	True	311.4224
sim_traces_nbin_1500	run_High_Unwinding_noise_10	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_High_Unwinding_noise_10\duration_10000_ntraj_200\dwell_times_all.txt	20	0.537131	8.44025e-07	8.44025e-07	0.462867	0.241088	4.87269	9.99757	-2345708.465635	2345708.465635	4691521.701627	True	276.1853
sim_traces_nbin_1500	run_Family_A_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Family_A_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.234416	0.765135	0.000448723	4.29596e-07	0.496039	1.26821	9.99176	-1613156.656581	1613156.656581	3226412.179448	True	342.4822
sim_traces_nbin_1500	run_Family_A_3_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Family_A_3_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.263662	0.736031	0.000304138	2.62645e-06	0.444636	1.14473	9.98744	-1627972.209729	1627972.209729	3256044.202408	True	381.4660
sim_traces_nbin_1500	run_High_Unwinding_noise_5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_High_Unwinding_noise_5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.00202316	0.309057	0.68892	1.14123e-07	0.216985	0.544459	1.99602	-1649290.977310	1649290.977310	3298679.552810	True	797.6498
sim_traces_nbin_1500	run_Family_C_3_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Family_C_3_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.488355	0.511644	4.99943e-07	4.99943e-07	4.71772	3.84565	9.92879	-696782.323400	696782.323400	1393652.919510	True	15.0292
sim_traces_nbin_1500	run_Family_C_2_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Family_C_2_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.597954	0.402045	4.79895e-07	4.79895e-07	5.11486	3.90329	9.94927	-672631.541276	672631.541276	1345351.354630	True	15.3457
sim_traces_nbin_1500	run_Family_C_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Family_C_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.571531	0.428468	4.85973e-07	4.85973e-07	5.01408	3.90006	9.94444	-679421.626635	679421.626635	1358931.525208	True	15.6770
sim_traces_nbin_1500	run_Family_C_4_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Family_C_4_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.372002	0.627997	3.18122e-07	3.18122e-07	3.35396	5.06792	9.82174	-759968.480467	759968.480467	1520025.363781	True	16.5331
sim_traces_nbin_1500	run_Family_C_5_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Family_C_5_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.380183	0.619816	3.11505e-07	3.11505e-07	3.25539	5.19977	9.79601	-767584.731763	767584.731763	1535257.929126	True	18.7364
sim_traces_nbin_1500	run_Family_D_2_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Family_D_2_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.226196	0.773312	0.000492187	2.05898e-07	0.515484	1.32698	9.99398	-1601100.976153	1601100.976153	3202300.467523	True	135.0282
sim_traces_nbin_1500	run_Family_D_5_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Family_D_5_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.5998	6.27627e-07	6.27627e-07	0.400199	0.302351	4.77753	9.99764	-2271859.801209	2271859.801209	4543824.293688	True	129.7627
sim_traces_nbin_1500	run_Family_D_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Family_D_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.234304	0.765296	0.000399813	1.02706e-07	0.499296	1.27165	9.97067	-1611278.455317	1611278.455317	3222655.749521	True	144.3403
sim_traces_nbin_1500	run_Family_D_3_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Family_D_3_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.268069	0.731549	0.000381569	6.14152e-08	0.446281	1.14058	9.46901	-1623397.719036	1623397.719036	3246895.253754	True	145.2572
sim_traces_nbin_1500	run_Family_D_4_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Family_D_4_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.323714	0.675772	0.000513497	1.18096e-07	0.37398	0.945379	9.7354	-1567703.843237	1567703.843237	3135509.136787	True	147.6151
sim_traces_nbin_1500	run_Family_A_5_noise_0.5	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_1500\run_Family_A_5_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	2.6269e-08	2.6269e-08	2.6269e-08	1	0.001	3.99246	9.79577	-20955715.548156	20955715.548156	41911547.773697	True	1164.3181
