time	position	state	ATP_bound
1.000000000000000000e+00 1.424422132049268264e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.733411827274479400e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 3.188883026250759478e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 3.698956624530587600e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 5.543656686592075999e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 5.906598209067986716e+00 1.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 2.629168590980222042e+00 2.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 5.266845645968336598e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 5.500842807425005532e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 7.155158130999983435e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+01 8.266314400383942385e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000000e+01 8.477065424100905133e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.300000000000000000e+01 9.594128709560422408e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000000e+01 1.081219576081235623e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+01 1.124642064247478501e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+01 9.859491948123951133e+00 2.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+01 9.698245318571700579e+00 2.000000000000000000e+00 0.000000000000000000e+00
1.800000000000000000e+01 1.140276016733421116e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.900000000000000000e+01 1.178651688319192203e+01 1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+01 1.229558005482458505e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.100000000000000000e+01 1.106728881744772153e+01 2.000000000000000000e+00 0.000000000000000000e+00
2.200000000000000000e+01 1.190013166470438044e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.300000000000000000e+01 1.230903117611609154e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.400000000000000000e+01 1.445695123644657087e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+01 1.391780427695046818e+01 2.000000000000000000e+00 0.000000000000000000e+00
2.600000000000000000e+01 1.449153770215607651e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.700000000000000000e+01 1.385968175842003625e+01 1.000000000000000000e+00 0.000000000000000000e+00
2.800000000000000000e+01 1.497772445472089942e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.900000000000000000e+01 1.705231127278770842e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+01 1.675377519776399282e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.100000000000000000e+01 1.687131507723654167e+01 1.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000000e+01 1.788112121770518925e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.300000000000000000e+01 1.922070017957586430e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.400000000000000000e+01 1.927126681052169843e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.500000000000000000e+01 2.035616751382904610e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.600000000000000000e+01 2.178048456014851553e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.700000000000000000e+01 2.210060035244013221e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.800000000000000000e+01 2.446009420933592082e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.900000000000000000e+01 2.321613543460372497e+01 2.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+01 2.277338627490540901e+01 2.000000000000000000e+00 0.000000000000000000e+00
4.100000000000000000e+01 2.315635203799345376e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.200000000000000000e+01 2.413576826154901411e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.300000000000000000e+01 2.480317331630800481e+01 1.000000000000000000e+00 0.000000000000000000e+00
4.400000000000000000e+01 2.428891967114239492e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.500000000000000000e+01 2.543476636088137965e+01 1.000000000000000000e+00 0.000000000000000000e+00
4.600000000000000000e+01 2.612383429056818684e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.700000000000000000e+01 2.598008105779544508e+01 1.000000000000000000e+00 0.000000000000000000e+00
4.800000000000000000e+01 2.736141865202300849e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.900000000000000000e+01 2.871861221317495705e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 2.898026736691710781e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.100000000000000000e+01 3.042651754912249373e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.200000000000000000e+01 3.159013940504974016e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.300000000000000000e+01 3.203271598990289704e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.400000000000000000e+01 3.313212337855112111e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.500000000000000000e+01 3.391962358579274905e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.600000000000000000e+01 3.281521307563198064e+01 2.000000000000000000e+00 0.000000000000000000e+00
5.700000000000000000e+01 3.442702440983875078e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.800000000000000000e+01 3.380172214270311315e+01 2.000000000000000000e+00 0.000000000000000000e+00
5.900000000000000000e+01 3.417537414147082586e+01 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+01 3.439563878408328179e+01 0.000000000000000000e+00 0.000000000000000000e+00
6.100000000000000000e+01 3.619155904612932773e+01 0.000000000000000000e+00 0.000000000000000000e+00
6.200000000000000000e+01 3.538340467253742361e+01 1.000000000000000000e+00 0.000000000000000000e+00
6.300000000000000000e+01 3.688692916271588018e+01 0.000000000000000000e+00 0.000000000000000000e+00
6.400000000000000000e+01 3.729633530237006056e+01 0.000000000000000000e+00 0.000000000000000000e+00
6.500000000000000000e+01 3.934645254904075529e+01 0.000000000000000000e+00 0.000000000000000000e+00
6.600000000000000000e+01 4.054101128413819310e+01 0.000000000000000000e+00 0.000000000000000000e+00
6.700000000000000000e+01 4.112544127375060299e+01 0.000000000000000000e+00 0.000000000000000000e+00
6.800000000000000000e+01 4.020350598659615571e+01 2.000000000000000000e+00 0.000000000000000000e+00
6.900000000000000000e+01 4.051674329882749248e+01 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+01 4.197899459677784506e+01 0.000000000000000000e+00 0.000000000000000000e+00
7.100000000000000000e+01 4.098503676428495623e+01 2.000000000000000000e+00 0.000000000000000000e+00
7.200000000000000000e+01 4.028922790241375651e+01 2.000000000000000000e+00 0.000000000000000000e+00
7.300000000000000000e+01 4.045074028347208639e+01 0.000000000000000000e+00 0.000000000000000000e+00
7.400000000000000000e+01 4.230157950694371749e+01 0.000000000000000000e+00 0.000000000000000000e+00
7.500000000000000000e+01 4.362571546086017804e+01 0.000000000000000000e+00 0.000000000000000000e+00
7.600000000000000000e+01 4.390904451360566441e+01 0.000000000000000000e+00 0.000000000000000000e+00
7.700000000000000000e+01 4.411453909418649033e+01 0.000000000000000000e+00 0.000000000000000000e+00
